Entity,Year,Emigrants from Australia: Where did they move to?
Serbia,2005,369
Serbia,2010,502
Serbia,2015,683
Serbia,2020,928
Serbia,2024,1084
Seychelles,1990,67
Seychelles,1995,59
Seychelles,2000,51
Seychelles,2005,48
Seychelles,2010,46
Seychelles,2015,51
Seychelles,2020,50
Seychelles,2024,51
Singapore,1990,4549
Singapore,1995,6072
Singapore,2000,7767
Singapore,2005,8236
Singapore,2010,11305
Singapore,2015,14060
Singapore,2020,15131
Singapore,2024,17222
Slovakia,1990,18
Slovakia,1995,85
Slovakia,2000,176
Slovakia,2005,198
Slovakia,2010,222
Slovakia,2015,288
Slovakia,2020,419
Slovakia,2024,455
Slovenia,1990,226
Slovenia,1995,220
Slovenia,2000,303
Slovenia,2005,335
Slovenia,2010,393
Slovenia,2015,363
Slovenia,2020,372
Slovenia,2024,422
Small Island Developing States (SIDS),1990,22226
Small Island Developing States (SIDS),1995,24414
Small Island Developing States (SIDS),2000,22829
Small Island Developing States (SIDS),2005,23773
Small Island Developing States (SIDS),2010,25434
Small Island Developing States (SIDS),2015,28406
Small Island Developing States (SIDS),2020,29680
Small Island Developing States (SIDS),2024,31928
Solomon Islands,1990,360
Solomon Islands,1995,356
Solomon Islands,2000,340
Solomon Islands,2005,309
Solomon Islands,2010,298
Solomon Islands,2015,279
Solomon Islands,2020,271
Solomon Islands,2024,266
South Africa,1990,4309
South Africa,1995,3788
South Africa,2000,3331
South Africa,2005,3004
South Africa,2010,2739
South Africa,2015,2667
South Africa,2020,2666
South Africa,2024,2653
South America,1990,4423
South America,1995,4363
South America,2000,4270
South America,2005,4226
South America,2010,4236
South America,2015,4293
South America,2020,4353
South America,2024,5047
South-Eastern Asia (UN),1990,14839
South-Eastern Asia (UN),1995,17906
South-Eastern Asia (UN),2000,21268
South-Eastern Asia (UN),2005,19360
South-Eastern Asia (UN),2010,22549
South-Eastern Asia (UN),2015,22860
South-Eastern Asia (UN),2020,21971
South-Eastern Asia (UN),2024,24589
Southern Africa (UN),1990,5230
Southern Africa (UN),1995,4663
Southern Africa (UN),2000,4166
Southern Africa (UN),2005,3816
Southern Africa (UN),2010,3657
Southern Africa (UN),2015,3613
Southern Africa (UN),2020,3671
Southern Africa (UN),2024,3715
Southern Asia (UN),1990,2732
Southern Asia (UN),1995,1784
Southern Asia (UN),2000,1096
Southern Asia (UN),2005,1576
Southern Asia (UN),2010,2639
Southern Asia (UN),2015,2560
Southern Asia (UN),2020,2437
Southern Asia (UN),2024,2366
Southern Europe (UN),1990,42081
Southern Europe (UN),1995,43613
Southern Europe (UN),2000,44800
Southern Europe (UN),2005,45742
Southern Europe (UN),2010,47246
Southern Europe (UN),2015,49216
Southern Europe (UN),2020,57339
Southern Europe (UN),2024,67673
Sri Lanka,1990,51
Sri Lanka,1995,100
Sri Lanka,2000,150
Sri Lanka,2005,253
Sri Lanka,2010,465
Sri Lanka,2015,469
Sri Lanka,2020,474
Sri Lanka,2024,479
Sub-Saharan Africa (UN),1990,5541
Sub-Saharan Africa (UN),1995,4970
Sub-Saharan Africa (UN),2000,4472
Sub-Saharan Africa (UN),2005,4198
Sub-Saharan Africa (UN),2010,4170
Sub-Saharan Africa (UN),2015,4129
Sub-Saharan Africa (UN),2020,4296
Sub-Saharan Africa (UN),2024,4464
Taiwan,1990,278
Taiwan,1995,471
Taiwan,2000,667
Taiwan,2005,903
Taiwan,2010,732
Taiwan,2015,786
Taiwan,2020,919
Taiwan,2024,931
Tokelau,1990,7
Tokelau,1995,6
Tokelau,2000,21
Tokelau,2005,20
Tokelau,2010,33
Tokelau,2015,39
Tokelau,2020,40
Tokelau,2024,41
Uganda,1990,137
Uganda,1995,137
Uganda,2000,137
Uganda,2005,146
Uganda,2010,163
Uganda,2015,180
Uganda,2020,197
Uganda,2024,210
United Kingdom,1990,71717
United Kingdom,1995,86757
United Kingdom,2000,104720
United Kingdom,2005,115290
United Kingdom,2010,124989
United Kingdom,2015,125672
United Kingdom,2020,124920
United Kingdom,2024,124319
Upper-middle-income countries,1990,28464
Upper-middle-income countries,1995,28621
Upper-middle-income countries,2000,29564
Upper-middle-income countries,2005,28305
Upper-middle-income countries,2010,30065
Upper-middle-income countries,2015,28686
Upper-middle-income countries,2020,27498
Upper-middle-income countries,2024,30149
Vanuatu,1990,442
Vanuatu,1995,445
Vanuatu,2000,450
Vanuatu,2005,549
Vanuatu,2010,612
Vanuatu,2015,651
Vanuatu,2020,665
Vanuatu,2024,677
Venezuela,1990,131
Venezuela,1995,129
Venezuela,2000,127
Venezuela,2005,133
Venezuela,2010,141
Venezuela,2015,148
Venezuela,2020,137
Venezuela,2024,131
Western Africa (UN),1990,17
Western Africa (UN),1995,17
Western Africa (UN),2000,19
Western Africa (UN),2005,27
Western Africa (UN),2010,27
Western Africa (UN),2015,43
Western Africa (UN),2020,45
Western Africa (UN),2024,49
Western Asia (UN),1990,2803
Western Asia (UN),1995,3525
Western Asia (UN),2000,4135
Western Asia (UN),2005,5096
Western Asia (UN),2010,6481
Western Asia (UN),2015,6464
Western Asia (UN),2020,6814
Western Asia (UN),2024,7221
Western Europe (UN),1990,74
Western Europe (UN),1995,70
Western Europe (UN),2000,67
Western Europe (UN),2005,58
Western Europe (UN),2010,58
Western Europe (UN),2015,88
Western Europe (UN),2020,296
Western Europe (UN),2024,342
World,1990,250909
World,1995,280785
World,2000,311529
World,2005,337326
World,2010,362178
World,2015,403333
World,2020,420672
World,2024,430718
Zambia,1990,81
Zambia,1995,81
Zambia,2000,83
Zambia,2005,148
Zambia,2010,264
Zambia,2015,232
Zambia,2020,323
Zambia,2024,428
